year,co2
Jan-75,330.45
Feb-75,330.97
Mar-75,331.64
Apr-75,332.87
May-75,333.61
Jun-75,333.55
Jul-75,331.63
Aug-75,332.46
Sep-75,333.36
Oct-75,334.45
Nov-75,334.82
Dec-75,334.32
Jan-76,331.9
Feb-76,330.05
Mar-76,328.58
Apr-76,328.31
May-76,329.41
Jun-76,330.63
Jul-76,332.81
Aug-76,333.23
Sep-76,334.55
Oct-76,335.82
Nov-76,336.44
Dec-76,335.99
Jan-77,333.05
Feb-77,330.87
Mar-77,329.24
Apr-77,328.87
May-77,330.18
Jun-77,331.5
Jul-77,334.65
Aug-77,332.41
Sep-77,331.32
Oct-77,330.73
Nov-77,332.05
Dec-77,333.53
Jan-78,334.66
Feb-78,335.07
Mar-78,336.33
Apr-78,337.39
May-78,337.65
Jun-78,337.57
Jul-78,335.89
Aug-78,336.44
Sep-78,337.63
Oct-78,338.54
Nov-78,339.06
Dec-78,338.95
Jan-79,336.25
Feb-79,334.39
Mar-79,332.44
Apr-79,332.25
May-79,333.59
Jun-79,334.76
Jul-79,337.41
Aug-79,335.71
Sep-79,333.68
Oct-79,333.69
Nov-79,335.05
Dec-79,336.53
Jan-80,337.81
Feb-80,338.16
Mar-80,339.88
Apr-80,340.57
May-80,341.19
Jun-80,340.87
Jul-80,339.25
Aug-80,337.19
Sep-80,335.49
Oct-80,336.63
Nov-80,337.74
Dec-80,338.36
