month,rainfall
Jan-45,69.3
Feb-45,80
Mar-45,40.9
Apr-45,74.9
May-45,84.6
Jun-45,101.1
Jul-45,225
Aug-45,95.3
Sep-45,100.6
Oct-45,48.3
Nov-45,144.5
Dec-45,28.3
Jan-46,38.4
Feb-46,52.3
Mar-46,68.6
Apr-46,37.1
May-46,148.6
Jun-46,218.7
Jul-46,131.6
Aug-46,112.8
Sep-46,81.8
Oct-46,31
Nov-46,47.5
Dec-46,70.1
Jan-47,96.8
Feb-47,61.5
Mar-47,55.6
Apr-47,171.7
May-47,220.5
Jun-47,119.4
Jul-47,63.2
Aug-47,181.6
Sep-47,73.9
Oct-47,64.8
Nov-47,166.9
Dec-47,48
Jan-48,137.7
Feb-48,80.5
Mar-48,105.2
Apr-48,89.9
May-48,174.8
Jun-48,124
Jul-48,86.4
Aug-48,136.9
Sep-48,31.5
Oct-48,35.3
Nov-48,112.3
Dec-48,143
Jan-49,160.8
Feb-49,97
Mar-49,80.5
Apr-49,62.5
May-49,158.2
Jun-49,7.6
Jul-49,165.9
Aug-49,106.7
Sep-49,92.2
Oct-49,63.2
Nov-49,26.2
Dec-49,77
Jan-50,52.3
Feb-50,105.4
Mar-50,144.3
Apr-50,49.5
May-50,116.1
Jun-50,54.1
Jul-50,148.6
Aug-50,159.3
Sep-50,85.3
Oct-50,67.3
Nov-50,112.8
Dec-50,59.4
