month,sale
2000/1/1,153
2000/2/1,187
2000/3/1,234
2000/4/1,212
2000/5/1,300
2000/6/1,221
2000/7/1,201
2000/8/1,175
2000/9/1,123
2000/10/1,104
2000/11/1,85
2000/12/1,78
2001/1/1,134
2001/2/1,175
2001/3/1,243
2001/4/1,227
2001/5/1,298
2001/6/1,256
2001/7/1,237
2001/8/1,165
2001/9/1,124
2001/10/1,106
2001/11/1,87
2001/12/1,74
2002/1/1,145
2002/2/1,203
2002/3/1,189
2002/4/1,214
2002/5/1,295
2002/6/1,220
2002/7/1,231
2002/8/1,174
2002/9/1,119
2002/10/1,85
2002/11/1,67
2002/12/1,75
2003/1/1,117
2003/2/1,178
2003/3/1,149
2003/4/1,178
2003/5/1,248
2003/6/1,202
2003/7/1,162
2003/8/1,135
2003/9/1,120
2003/10/1,96
2003/11/1,90
2003/12/1,63
